date,produit,region,prix_fcfa_kg,volume_kg
2019,2019-01,31/01/2019,Mil,Kaolack
2019,2019-01,31/01/2019,Maïs,Kaolack
2019,2019-01,31/01/2019,Riz Importé,Kaolack
2019,2019-01,31/01/2019,Riz Importé Parfumé,Kaolack
2019,2019-01,31/01/2019,Riz,Kaolack
2019,2019-01,30/01/2019,Mil,Ourossogui
2019,2019-01,30/01/2019,Mil,Thiès
2019,2019-01,30/01/2019,Sorgho,Ourossogui
2019,2019-01,30/01/2019,Sorgho,Thiès
2019,2019-01,30/01/2019,Maïs,Ourossogui
2019,2019-01,30/01/2019,Maïs Importé,Ourossogui
2019,2019-01,30/01/2019,Maïs Importé,Thiès
2019,2019-01,30/01/2019,Sorgho Importé,Ourossogui
2019,2019-01,30/01/2019,Sorgho Importé,Thiès
2019,2019-01,30/01/2019,Riz Importé,Ourossogui
2019,2019-01,30/01/2019,Riz Importé,Thiès
2019,2019-01,30/01/2019,Riz Importé Parfumé,Thiès
2019,2019-01,30/01/2019,Riz,Ourossogui
2019,2019-01,30/01/2019,Riz,Thiès
2019,2019-01,29/01/2019,Mil,Thiodaye
2019,2019-01,29/01/2019,Sorgho,Thiodaye
2019,2019-01,29/01/2019,Maïs,Thiodaye
2019,2019-01,29/01/2019,Maïs Importé,Thiodaye
2019,2019-01,29/01/2019,Riz Importé,Thiodaye
2019,2019-01,29/01/2019,Riz,Thiodaye
2019,2019-01,28/01/2019,Sorgho,Kédougou
2019,2019-01,28/01/2019,Mil,Kédougou
2019,2019-01,28/01/2019,Maïs,Kédougou
2019,2019-01,28/01/2019,Riz Importé,Kédougou
2019,2019-01,28/01/2019,Riz Importé Parfumé,Kédougou
2019,2019-01,26/01/2019,Mil,Touba Mouride
2019,2019-01,26/01/2019,Mil,Touba Toul
2019,2019-01,26/01/2019,Mil,Mako
2019,2019-01,26/01/2019,Maïs,Touba Mouride
2019,2019-01,26/01/2019,Maïs,Touba Toul
2019,2019-01,26/01/2019,Maïs,Mako
2019,2019-01,26/01/2019,Maïs Importé,Touba Toul
2019,2019-01,26/01/2019,Riz Importé,Touba Mouride
2019,2019-01,26/01/2019,Riz Importé,Touba Toul
2019,2019-01,26/01/2019,Riz Importé,Mako
2019,2019-01,26/01/2019,Riz Importé Parfumé,Touba Toul
2019,2019-01,26/01/2019,Riz Importé Parfumé,Mako
2019,2019-01,26/01/2019,Riz,Touba Toul
2019,2019-01,25/01/2019,Mil,Mpal
2019,2019-01,25/01/2019,Mil,Porokhane
2019,2019-01,25/01/2019,Maïs,Mpal
2019,2019-01,25/01/2019,Maïs,Porokhane
2019,2019-01,25/01/2019,Maïs Importé,Mpal
2019,2019-01,25/01/2019,Sorgho Importé,Mpal
2019,2019-01,25/01/2019,Riz Importé,Mpal
2019,2019-01,25/01/2019,Riz Importé,Porokhane
2019,2019-01,25/01/2019,Riz,Mpal
2019,2019-01,24/01/2019,Mil,Diourbel
2019,2019-01,24/01/2019,Mil,Kaolack
2019,2019-01,24/01/2019,Mil,Tambacounda
2019,2019-01,24/01/2019,Mil,Saint-Maur
2019,2019-01,24/01/2019,Mil,Louga
2019,2019-01,24/01/2019,Sorgho,Diourbel
2019,2019-01,24/01/2019,Sorgho,Kaolack
2019,2019-01,24/01/2019,Sorgho,Saint-Maur
2019,2019-01,24/01/2019,Maïs,Kaolack
2019,2019-01,24/01/2019,Maïs,Tambacounda
2019,2019-01,24/01/2019,Maïs,Saint-Maur
2019,2019-01,24/01/2019,Maïs,Louga
2019,2019-01,24/01/2019,Maïs Importé,Diourbel
2019,2019-01,24/01/2019,Maïs Importé,Louga
2019,2019-01,24/01/2019,Riz Importé,Diourbel
2019,2019-01,24/01/2019,Riz Importé,Kaolack
2019,2019-01,24/01/2019,Riz Importé,Tambacounda
2019,2019-01,24/01/2019,Riz Importé,Saint-Maur
2019,2019-01,24/01/2019,Riz Importé,Louga
2019,2019-01,24/01/2019,Riz Importé Parfumé,Diourbel
2019,2019-01,24/01/2019,Riz Importé Parfumé,Kaolack
2019,2019-01,24/01/2019,Riz Importé Parfumé,Tambacounda
2019,2019-01,24/01/2019,Riz Importé Parfumé,Louga
2019,2019-01,24/01/2019,Riz,Diourbel
2019,2019-01,24/01/2019,Riz,Kaolack
2019,2019-01,24/01/2019,Riz,Louga
2019,2019-01,23/01/2019,Mil,Ourossogui
2019,2019-01,23/01/2019,Mil,Sédhiou
2019,2019-01,23/01/2019,Mil,Thiès
2019,2019-01,23/01/2019,Sorgho,Ourossogui
2019,2019-01,23/01/2019,Sorgho,Thiès
2019,2019-01,23/01/2019,Maïs,Sédhiou
2019,2019-01,23/01/2019,Maïs Importé,Ourossogui
2019,2019-01,23/01/2019,Maïs Importé,Thiès
2019,2019-01,23/01/2019,Sorgho Importé,Ourossogui
2019,2019-01,23/01/2019,Sorgho Importé,Thiès
2019,2019-01,23/01/2019,Riz Importé,Ourossogui
2019,2019-01,23/01/2019,Riz Importé,Sédhiou
2019,2019-01,23/01/2019,Riz Importé,Thiès
2019,2019-01,23/01/2019,Riz Importé Parfumé,Sédhiou
2019,2019-01,23/01/2019,Riz Importé Parfumé,Thiès
2019,2019-01,23/01/2019,Riz,Ourossogui
2019,2019-01,23/01/2019,Riz,Thiès
2019,2019-01,21/01/2019,Mil,Mereto
2019,2019-01,21/01/2019,Mil,Kolda
2019,2019-01,21/01/2019,Mil,Saint-Louis
2019,2019-01,21/01/2019,Mil,Gouille Mbeuth
2019,2019-01,21/01/2019,Sorgho,Kolda
2019,2019-01,21/01/2019,Sorgho,Saint-Louis
2019,2019-01,21/01/2019,Maïs,Mereto
2019,2019-01,21/01/2019,Maïs,Kolda
2019,2019-01,21/01/2019,Maïs,Saint-Louis
2019,2019-01,21/01/2019,Maïs,Gouille Mbeuth
2019,2019-01,21/01/2019,Maïs Importé,Saint-Louis
2019,2019-01,21/01/2019,Maïs Importé,Gouille Mbeuth
2019,2019-01,21/01/2019,Sorgho Importé,Saint-Louis
2019,2019-01,21/01/2019,Riz Importé,Mereto
2019,2019-01,21/01/2019,Riz Importé,Kolda
2019,2019-01,21/01/2019,Riz Importé,Saint-Louis
2019,2019-01,21/01/2019,Riz Importé,Gouille Mbeuth
2019,2019-01,21/01/2019,Riz Importé Parfumé,Mereto
2019,2019-01,21/01/2019,Riz Importé Parfumé,Kolda
2019,2019-01,21/01/2019,Riz Importé Parfumé,Saint-Louis
2019,2019-01,21/01/2019,Riz Importé Parfumé,Gouille Mbeuth
2019,2019-01,21/01/2019,Riz,Kolda
2019,2019-01,21/01/2019,Riz,Saint-Louis
2019,2019-01,21/01/2019,Riz,Gouille Mbeuth
2019,2019-01,20/01/2019,Mil,Fatick
2019,2019-01,20/01/2019,Mil,Passy
2019,2019-01,20/01/2019,Sorgho,Fatick
2019,2019-01,20/01/2019,Sorgho,Passy
2019,2019-01,20/01/2019,Maïs,Fatick
2019,2019-01,20/01/2019,Maïs,Passy
2019,2019-01,20/01/2019,Maïs Importé,Fatick
2019,2019-01,20/01/2019,Maïs Importé,Passy
2019,2019-01,20/01/2019,Riz Importé,Fatick
2019,2019-01,20/01/2019,Riz Importé,Passy
2019,2019-01,20/01/2019,Riz Importé Parfumé,Fatick
