Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1961","1961","ha","1026000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1961","1961","kg/ha","996.1","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1961","1961","tonnes","1022000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1962","1962","ha","1015000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1962","1962","kg/ha","1006.9","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1962","1962","tonnes","1022000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1963","1963","ha","1084000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1963","1963","kg/ha","1000.5","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1963","1963","tonnes","1084500","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1964","1964","ha","1055000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1964","1964","kg/ha","965.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1964","1964","tonnes","1019000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1965","1965","ha","1114000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1965","1965","kg/ha","1006.3","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1965","1965","tonnes","1121000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1966","1966","ha","1116710","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1966","1966","kg/ha","895.5","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1966","1966","tonnes","1000000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1967","1967","ha","1166746","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1967","1967","kg/ha","864.5","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1967","1967","tonnes","1008610","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1968","1968","ha","1195117","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1968","1968","kg/ha","700.2","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1968","1968","tonnes","836800","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1969","1969","ha","959800","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1969","1969","kg/ha","829.4","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1969","1969","tonnes","796100","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1970","1970","ha","989918","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1970","1970","kg/ha","596","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1970","1970","tonnes","589950","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1971","1971","ha","1068873","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1971","1971","kg/ha","932.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1971","1971","tonnes","997120","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1972","1972","ha","1086732","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1972","1972","kg/ha","540.1","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1972","1972","tonnes","586900","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1973","1973","ha","1042691","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1973","1973","kg/ha","664.4","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1973","1973","tonnes","692779","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1974","1974","ha","1152100","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1974","1974","kg/ha","850.8","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1974","1974","tonnes","980200","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1975","1975","ha","1302300","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1975","1975","kg/ha","1108.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1975","1975","tonnes","1444093","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1976","1976","ha","1346000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1976","1976","kg/ha","914.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1976","1976","tonnes","1231500","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1977","1977","ha","1113000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1977","1977","kg/ha","466.3","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1977","1977","tonnes","518956","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1978","1978","ha","1178000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1978","1978","kg/ha","900.7","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1978","1978","tonnes","1061082","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1979","1979","ha","1069000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1979","1979","kg/ha","632.4","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1979","1979","tonnes","676000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1980","1980","ha","1074742","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1980","1980","kg/ha","486.6","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1980","1980","tonnes","523003","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1981","1981","ha","1015740","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1981","1981","kg/ha","858.8","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1981","1981","tonnes","872319","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1982","1982","ha","1147723","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1982","1982","kg/ha","874.8","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1982","1982","tonnes","1004023","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1983","1983","ha","1108000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1983","1983","kg/ha","495.5","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5510","Production","0142","Arachides non décortiquées","1983","1983","tonnes","549000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5312","Superficie récoltée","0142","Arachides non décortiquées","1984","1984","ha","872972","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0142","Arachides non décortiquées","1984","1984","kg/ha","577.1","A","Chiffre officiel",""
