Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2007","2007","%","0.02","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2008","2008","%","0.28","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2009","2009","%","0.27","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2010","2010","%","0.3","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2011","2011","%","0.15","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2012","2012","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2013","2013","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2014","2014","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2015","2015","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2016","2016","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2017","2017","%","0.08","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2018","2018","%","0.09","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2019","2019","%","0.07","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2020","2020","%","0.04","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2021","2021","%","0.03","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2022","2022","%","0.04","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7208","Part de terres agricoles","6671","Terr. agricoles sous agriculture biologique","2023","2023","%","0.04","E","Valeur estimée",""
