Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1961","1961","%","2.38","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1962","1962","%","2.54","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1963","1963","%","2.49","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1964","1964","%","2.46","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1965","1965","%","2.38","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1966","1966","%","2.35","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1967","1967","%","2.25","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1968","1968","%","2.14","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1969","1969","%","2.25","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1970","1970","%","2.24","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1971","1971","%","2.16","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1972","1972","%","2.16","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1973","1973","%","2.09","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1974","1974","%","2.03","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1975","1975","%","2.03","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1976","1976","%","2","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1977","1977","%","2.1","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1978","1978","%","2.1","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1979","1979","%","2.07","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1980","1980","%","2.04","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1981","1981","%","1.97","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1982","1982","%","1.98","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1983","1983","%","1.98","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1984","1984","%","2.01","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1985","1985","%","2.04","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1986","1986","%","2.07","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1987","1987","%","2.11","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1988","1988","%","2.11","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1989","1989","%","2.14","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1990","1990","%","2.18","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1991","1991","%","2.29","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1992","1992","%","2.27","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1993","1993","%","2.28","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1994","1994","%","2.21","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1995","1995","%","2.44","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1996","1996","%","2.52","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1997","1997","%","2.96","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1998","1998","%","3.43","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","1999","1999","%","2.89","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2000","2000","%","3.14","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2001","2001","%","3.56","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2002","2002","%","3.87","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2003","2003","%","4.03","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2004","2004","%","3.95","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2005","2005","%","3.78","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2006","2006","%","4.16","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2007","2007","%","4.14","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2008","2008","%","3.27","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2009","2009","%","3.27","E","Valeur estimée",""
"RL","Utilisation des terres","686","Sénégal","7252","Part de terres en culture","6690","Superficie équipée de systèmes d'irrigation","2010","2010","%","3.27","E","Valeur estimée",""
